id,key,value,type
9904718,lit,yes,regular
9904718,maxspeed,50,regular
9904718,name,Hall Street,regular
10300662,highway,service,regular
10587497,foot,yes,regular
10587497,source,nearmap,regular
10587497,highway,footway,regular
10638872,width,6.4,regular
10638872,highway,service,regular
10638872,service,alley,regular
10638872,surface,paved,regular
10844425,name,Raglan Street,regular
10844425,source,yahoo,regular
10844425,highway,residential,regular
10844425,name,Collins 1936,source
10905124,highway,unclassified,regular
11160368,name,Dalgety Street,regular
11160368,highway,residential,regular
11249923,name,McKenzie Street,regular
11249923,highway,residential,regular
11322373,name,Margaret Street,regular
11322373,highway,residential,regular
11452768,layer,1,regular
11452768,sport,australian_football;cricket,regular
11452768,leisure,pitch,regular
11452768,surface,grass,regular
11731954,bridge,yes,regular
11731954,highway,primary,regular
11731954,lanes,2,regular
11731954,layer,1,regular
11731954,maxspeed,80,regular
11731954,name,Fitzsimons Lane,regular
11731954,network,S,regular
11731954,oneway,yes,regular
11731954,ref,S 47,regular
11731954,source,survey;Yahoo,regular
11788033,ref,S 47,regular
11788033,lanes,2,regular
11788033,oneway,yes,regular
11788033,highway,primary_link,regular
11788033,network,S,regular
11788033,maxspeed,80,regular
11788033,destination,Doncaster,regular
12092143,name,Oakwood Court,regular
12092143,highway,residential,regular
12227681,highway,secondary,regular
12227681,maxspeed,60,regular
12227681,name,Main Street,regular
12227681,ref,C782,regular
12227681,surface,asphalt,regular
12241052,oneway,yes,regular
12241052,highway,tertiary,regular
12241052,junction,roundabout,regular
12282204,name,Royal Road,regular
12282204,source,Yahoo,regular
12282204,highway,residential,regular
12282204,name,Collins 1936,source
12469415,lanes,1,regular
12469415,oneway,yes,regular
12469415,highway,residential,regular
12469415,surface,asphalt,regular
12469415,junction,roundabout,regular
12558460,name,Degraves Street,regular
12558460,highway,pedestrian,regular
12558460,maxspeed,10,regular
12558460,motor_vehicle,yes,regular
12906944,name,Hillcroft Drive,regular
12906944,oneway,yes,regular
12906944,highway,residential,regular
13099007,ref,C789,regular
13099007,name,Arthurs Seat Road,regular
13099007,highway,secondary,regular
13099007,backward,Arthurs Seat;Dromana,destination
13320580,highway,motorway_link,regular
13320580,lanes,1,regular
13320580,maxspeed,60,regular
13320580,name,Williamstown Road Offramp,regular
13320580,oneway,yes,regular
13320580,surface,asphalt,regular
13613730,lit,yes,regular
13613730,name,Boardwalk Boulevard,regular
13613730,lanes,2,regular
13613730,oneway,yes,regular
13613730,source,survey,regular
13613730,highway,tertiary,regular
13613730,surface,asphalt,regular
13613730,maxspeed,70,regular
13613730,motor_vehicle,yes,regular
13755758,name,Tucker Road,regular
13755758,highway,tertiary,regular
13755758,maxspeed,60,regular
13860014,area,yes,regular
13860014,source,yahoo,regular
13860014,waterway,riverbank,regular
13911660,name,Somerset Place,regular
13911660,source,nearmap,regular
13911660,highway,service,regular
13911660,name,photo,source
14234567,name,Reynolds Road,regular
14234567,oneway,yes,regular
14234567,highway,tertiary,regular
14342423,oneway,yes,regular
14342423,highway,unclassified,regular
14600586,name,Zerbes Reserve,regular
14600586,is_in,"East Doncaster,Victoria,Australia",regular
14600586,leisure,park,regular
14600586,postal_code,3109,regular
14864682,name,Oranna Court,regular
14864682,highway,residential,regular
14938881,name,Curtain Place,regular
14938881,highway,residential,regular
15218713,name,Gellibrand Street,regular
15218713,highway,residential,regular
15328647,ref,S 9,regular
15328647,name,Wantirna Road,regular
15328647,layer,1,regular
15328647,bridge,yes,regular
15328647,highway,primary,regular
15328647,network,S,regular
15328647,surface,asphalt,regular
15328647,maxspeed,70,regular
15478632,amenity,parking,regular
15738310,ref,A440,regular
15738310,name,South Gippsland Highway,regular
15738310,highway,trunk,regular
15738310,maxspeed,100,regular
16158456,access,private,regular
16158456,highway,service,regular
16361138,name,Guildford Lane.,regular
16361138,highway,service,regular
16712497,name,Government Road,regular
16712497,highway,residential,regular
16878354,name,Simonds Reef Road (Lerderderg Track),regular
16878354,highway,track,regular
16878354,surface,gravel,regular
16878354,scale,1,mtb
17023431,foot,yes,regular
17023431,name,Caroline Rise,regular
17023431,access,yes,regular
17023431,oneway,no,regular
17023431,source,yahoo,regular
17023431,bicycle,yes,regular
17023431,highway,residential,regular
17023431,surface,asphalt,regular
17023431,cycleway,no,regular
17023431,maxspeed,50,regular
17023431,sidewalk,none,regular
17023431,name,survey,source
17023431,source,default residential speed limit in Australia,maxspeed
17114561,name,Bethune Street,regular
17114561,highway,residential,regular
17266077,name,Vicki Street,regular
17266077,oneway,yes,regular
17266077,highway,residential,regular
17266077,surface,asphalt,regular
17383119,ref,S 58,regular
17383119,name,Somerton Road,regular
17383119,highway,primary,regular
17383119,network,S,regular
17383119,maxspeed,70,regular
18047150,name,Canterbury Place,regular
18047150,source,"survey,nearmap",regular
18047150,highway,residential,regular
18047150,surface,cobblestone,regular
18315133,highway,unclassified,regular
18315133,name,Olinda Creek Road,regular
18315133,surface,unpaved,regular
18594994,name,Crabapple Close,regular
18594994,highway,residential,regular
18912278,foot,yes,regular
18912278,highway,footway,regular
19469383,gauge,1435;1600,regular
19469383,source,Bing,regular
19469383,railway,rail,regular
19469383,service,siding,regular
19469383,electrified,no,regular
19507733,name,Birch Crescent,regular
19507733,highway,service,regular
19704316,name,40 Highclere Avenue,regular
19704316,comment,This whole street is for number 40 Highclere Avenue,regular
19704316,highway,service,regular
19754434,name,Edith Street,regular
19754434,highway,residential,regular
19780741,name,Blackbird Rise,regular
19780741,source,yahoo,regular
19780741,highway,residential,regular
19780741,name,survey,source
19783810,name,Lakeside Drive,regular
19783810,is_in,"East Burwood,Victoria,Australia",regular
19783810,oneway,yes,regular
19783810,highway,unclassified,regular
19922606,name,Eastwood Street,regular
19922606,source,yahoo,regular
19922606,highway,residential,regular
19922606,name,survey,source
19979311,name,Densham Road,regular
19979311,source,survey,regular
19979311,highway,residential,regular
20091293,foot,yes,regular
20091293,name,Border Drive,regular
20091293,access,yes,regular
20091293,oneway,no,regular
20091293,source,yahoo,regular
20091293,bicycle,yes,regular
20091293,highway,residential,regular
20091293,surface,asphalt,regular
20091293,cycleway,no,regular
20091293,maxspeed,50,regular
20091293,sidewalk,right,regular
20091293,name,survey,source
20091293,motor_vehicle,yes,regular
20275136,foot,yes,regular
20275136,name,Koonung Creek Trail,regular
20275136,layer,1,regular
20275136,bridge,yes,regular
20275136,bicycle,yes,regular
20275136,highway,cycleway,regular
20275136,cycleway,track,regular
20778894,highway,service,regular
20778894,service,alley,regular
20969776,name,South Centre Road,regular
20969776,oneway,yes,regular
20969776,highway,unclassified,regular
20969776,surface,asphalt,regular
20969776,maxspeed,70,regular
21261871,foot,designated,regular
21261871,name,Merri Creek Trail,regular
21261871,bicycle,designated,regular
21261871,highway,cycleway,regular
21261871,surface,concrete,regular
21261871,segregated,no,regular
21649248,name,Budd Street,regular
21649248,highway,residential,regular
21964004,oneway,yes,regular
21964004,source,yahoo,regular
21964004,highway,motorway_link,regular
22588137,highway,unclassified,regular
22588137,name,Empress Road,regular
22598357,foot,yes,regular
22598357,name,Moreland Road,regular
22598357,lanes,2,regular
22598357,oneway,yes,regular
22598357,bicycle,yes,regular
22598357,highway,secondary,regular
22598357,cycleway,lane,regular
22598357,sidewalk,left,regular
22690746,name,Shallot Close,regular
22690746,highway,residential,regular
22736271,name,Sandgate Road,regular
22736271,highway,residential,regular
22740290,amenity,parking,regular
22740290,parking,surface,regular
22740290,surface,grass,regular
22760354,name,South Audley Street,regular
22760354,highway,tertiary,regular
22760354,maxspeed,40,regular
22781840,todo,eck this (looks a bit sus having two service lanes so close together),regular
22781840,highway,service,regular
22799870,name,Orduna Place,regular
22799870,highway,residential,regular
22871043,foot,yes,regular
22871043,highway,footway,regular
22871043,created_by,Potlatch 0.7,regular
22893244,highway,service,regular
22903991,name,Plumer Street,regular
22903991,highway,residential,regular
22917371,name,Box Forest Road,regular
22917371,highway,unclassified,regular
22917371,surface,unpaved,regular
22917371,alt_name,Lees Road,regular
22930163,highway,service,regular
22930163,created_by,Potlatch 0.7,regular
22942274,foot,yes,regular
22942274,highway,cycleway,regular
22942274,surface,unpaved,regular
22961476,name,Trevascus Street,regular
22961476,source,MMBW,regular
22961476,highway,residential,regular
22970850,name,Briggs Street,regular
22970850,source,MMBW,regular
22970850,highway,residential,regular
22971070,name,Station Road,regular
22971070,oneway,yes,regular
22971070,source,MMBW,regular
22971070,highway,tertiary_link,regular
22971276,name,Michele Drive,regular
22971276,highway,residential,regular
22971276,maxspeed,50,regular
22980290,name,Ardgour Street,regular
22980290,highway,residential,regular
23000700,name,Brooke Street,regular
23000700,highway,residential,regular
23014280,foot,yes,regular
23014280,name,Mount Jerusalem Track,regular
23014280,horse,no,regular
23014280,access,yes,regular
23014280,bicycle,yes,regular
23014280,highway,track,regular
23014280,motor_vehicle,no,regular
23034295,highway,primary,regular
23034295,network,S,regular
23034295,oneway,yes,regular
23034295,ref,S 48,regular
23034295,source,nearmap,regular
23034295,surface,asphalt,regular
23061231,name,Russell Street,regular
23061231,lanes,2,regular
23061231,highway,residential,regular
23061231,surface,paved,regular
23099431,name,Parkmore Road,regular
23099431,highway,residential,regular
23143943,name,Lyons Street,regular
23143943,highway,residential,regular
23146467,highway,unclassified,regular
23146467,name,Hall Street,regular
23159904,name,Verdon Street,regular
23159904,source,MMBW,regular
23159904,highway,residential,regular
23169227,ref,C723,regular
23169227,name,Donnybrook Road,regular
23169227,oneway,yes,regular
23169227,source,nearmap,regular
23169227,highway,secondary,regular
23169227,maxspeed,100,regular
23209089,name,Westwood Drive,regular
23209089,highway,tertiary,regular
23209089,maxspeed,60,regular
23229665,bridge,yes,regular
23229665,highway,motorway,regular
23229665,layer,1,regular
23229665,maxspeed,100,regular
23229665,name,Western Ring Road,regular
23229665,network,NH,regular
23229665,oneway,yes,regular
23229665,ref,M80,regular
